简历ID,简历姓名,期望岗位,期望城市,排名,岗位名称,公司,城市,岗位薪资,总分,技能分,经验分,学历分,地域分,薪资分,专证分,系统推荐理由,人工判断(相关/一般/不相关),备注
R001,傅宇泽,数据分析师,杭州,1,数据分析师,莆田市曦盛嘉业科技有限公司,莆田,5000-10000元,70.55,76.18,60.0,100.0,30.0,80.0,100.0,技能命中 4/4（Excel、Python、SQL、统计学）；学历满足（要求高中，你大专）；岗位经验要求未能解析（按信息缺失中性处理）。｜提醒：跨城（约 548km）,,
R001,傅宇泽,数据分析师,杭州,2,数据采集,苏州沃沃科技服务有限公司,苏州,8000-11000元,70.55,76.18,60.0,60.0,60.0,80.0,100.0,技能命中 4/4（Excel、Python、SQL、统计学）；岗位经验要求未能解析（按信息缺失中性处理）；杭州 → 苏州 约 121km。｜提醒：经验是短板（岗位要求未能解析）,,
R001,傅宇泽,数据分析师,杭州,3,舟山话数据标注,安徽百得思维信息科技有限公司,舟山,2610-5220元,66.83,53.77,60.0,100.0,60.0,80.0,100.0,技能命中 3/4（Python、SQL、统计学）；学历满足（要求不限，你大专）；岗位经验要求未能解析（按信息缺失中性处理）。｜提醒：技能匹配度最低（命中 3/4）,,
R001,傅宇泽,数据分析师,杭州,4,车间统计员,海宁市艳美家居用品有限公司,嘉兴,4000-6000元,66.17,43.88,60.0,100.0,85.0,80.0,85.0,技能命中 3/5（Excel、Python、统计学）；杭州 → 嘉兴 约 78km；学历满足（要求大专，你大专）。｜提醒：技能匹配度最低（命中 3/5）,,
R001,傅宇泽,数据分析师,杭州,5,报告专员,立讯智造(浙江)有限公司,嘉兴,8000-16000元,65.82,40.58,60.0,100.0,85.0,80.0,100.0,技能命中 2/3（Excel、Python）；杭州 → 嘉兴 约 78km；学历满足（要求不限，你大专）。｜提醒：技能匹配度最低（命中 2/3）,,
R051,谭浩然,算法工程师,马鞍山,1,质量经理,嘉兴市安尼拓电气有限公司,嘉兴,20000-30000元·14薪,66.26,50.16,60.0,100.0,60.0,100.0,80.0,技能命中 2/3（Python、深度学习）；学历满足（要求不限，你大专）；岗位经验要求未能解析（按信息缺失中性处理）。｜提醒：技能匹配度最低（命中 2/3）,,
R051,谭浩然,算法工程师,马鞍山,2,报告专员,立讯智造(浙江)有限公司,嘉兴,8000-16000元,62.11,39.24,60.0,100.0,60.0,100.0,80.0,技能命中 2/4（Python、深度学习）；学历满足（要求不限，你大专）；岗位经验要求未能解析（按信息缺失中性处理）。｜提醒：技能匹配度最低（命中 2/4）,,
R051,谭浩然,算法工程师,马鞍山,3,直播运营专员,浙江超威动力能源有限公司,湖州,8000-12000元,61.57,66.23,0.0,100.0,60.0,100.0,80.0,技能命中 2/2（Python、SQL）；学历满足（要求大专，你大专）；岗位上限 12000 ≥ 期望下限 6500。｜提醒：经验是短板（要求 ≥1 年，你有 0 年）,,
R051,谭浩然,算法工程师,马鞍山,4,雷达算法工程师,浙江兆弟控股有限公司,湖州,35000-60000元,61.46,50.16,60.0,60.0,60.0,100.0,80.0,技能命中 2/3（Python、深度学习）；岗位经验要求未能解析（按信息缺失中性处理）；岗位上限 60000 ≥ 期望下限 6500。｜提醒：技能匹配度最低（命中 2/3）,,
R051,谭浩然,算法工程师,马鞍山,5,软件开发+不限语言（全程线上+双休+全额社保）,外企德科数字技术有限公司,苏州,13000-26000元·14薪,61.11,30.28,100.0,60.0,60.0,100.0,80.0,岗位经验不限；技能命中 2/6（Python、深度学习）；岗位上限 26000 ≥ 期望下限 6500。｜提醒：技能匹配度最低（命中 2/6）,,
R101,杜杰,前端开发工程师,金华,1,前端开发工程师,觉晓新材料科技(苏州)有限公司,苏州,10000-13000元,70.77,63.61,60.0,100.0,60.0,100.0,70.0,技能命中 4/7（CSS、HTML、JavaScript、Webpack）；学历满足（要求本科，你本科）；岗位经验要求未能解析（按信息缺失中性处理）。｜提醒：经验是短板（岗位要求未能解析）,,
R101,杜杰,前端开发工程师,金华,2,web前端助理,苏州天孚之星科技有限公司,苏州,13000-14000元,67.58,57.58,60.0,100.0,60.0,100.0,55.0,技能命中 3/5（CSS、HTML、JavaScript）；学历满足（要求大专，你本科）；岗位经验要求未能解析（按信息缺失中性处理）。｜提醒：专业/证书与岗位方向关联弱,,
R101,杜杰,前端开发工程师,金华,3,java开发工程师（吉利）,天津艾迪智绘网络科技有限公司,宁波,13000-15000元,66.8,53.15,60.0,100.0,60.0,100.0,70.0,技能命中 4/12（Axios、CSS、HTML、JavaScript）；学历满足（要求大专，你本科）；岗位经验要求未能解析（按信息缺失中性处理）。｜提醒：技能匹配度最低（命中 4/12）,,
R101,杜杰,前端开发工程师,金华,4,web前端（银行）,软通动力信息技术(集团)股份有限公司,福州,10000-13000元,65.97,63.61,60.0,100.0,30.0,100.0,70.0,技能命中 4/7（CSS、HTML、JavaScript、Webpack）；学历满足（要求本科，你本科）；岗位经验要求未能解析（按信息缺失中性处理）。｜提醒：跨城（约 336km）,,
R101,杜杰,前端开发工程师,金华,5,HTML5,安软科技集团有限公司,苏州,15000-16000元,65.96,53.31,60.0,100.0,60.0,100.0,55.0,技能命中 4/9（CSS、HTML、JavaScript、Webpack）；学历满足（要求大专，你本科）；岗位经验要求未能解析（按信息缺失中性处理）。｜提醒：技能匹配度最低（命中 4/9）,,
R151,郑悦,前端开发工程师,宁波,1,web前端工程师,燧浦(上海)智能科技有限公司,宁波,11000-13000元,84.58,62.59,100.0,100.0,100.0,100.0,80.0,技能命中 6/10（CSS、Element UI、JavaScript、React、TypeScript、Vite）；经验满足（要求 1-3 年，你有 3 年）；同城（宁波）。｜提醒：技能匹配度最低（命中 6/10）,,
R151,郑悦,前端开发工程师,宁波,2,前端开发（半年短期需本科）,广东善世企业服务集团有限公司,宁波,15000-19000元,82.85,58.02,100.0,100.0,100.0,100.0,80.0,技能命中 5/8（CSS、JavaScript、React、TypeScript、Vite）；经验满足（要求 3-5 年，你有 3 年）；同城（宁波）。｜提醒：技能匹配度最低（命中 5/8）,,
R151,郑悦,前端开发工程师,宁波,3,全栈工程师,湖北聚博汇人力资源有限公司,宁波,20000-30000元,80.82,52.68,100.0,100.0,100.0,100.0,80.0,技能命中 6/13（CSS、Element UI、JavaScript、React、TypeScript、Vite）；经验满足（要求 3-5 年，你有 3 年）；同城（宁波）。｜提醒：技能匹配度最低（命中 6/13）,,
R151,郑悦,前端开发工程师,宁波,4,web前端开发工程师,邦鼎智能科技(苏州)有限公司,苏州,9000-14000元,78.96,64.62,100.0,100.0,60.0,100.0,80.0,技能命中 4/5（Element UI、JavaScript、React、TypeScript）；经验满足（要求 1-3 年，你有 3 年）；学历满足（要求本科，你本科）。｜提醒：跨城（约 184km）,,
R151,郑悦,前端开发工程师,宁波,5,html5前端开发,宁波东方理工科技发展有限公司,宁波,13000-14000元,78.38,46.26,100.0,100.0,100.0,100.0,80.0,经验满足（要求 1-3 年，你有 3 年）；技能命中 4/8（CSS、JavaScript、React、Vite）；同城（宁波）。｜提醒：技能匹配度最低（命中 4/8）,,
R201,杜慧,软件测试工程师,南通,1,质量管理测试,四川思美瑞人力资源管理有限公司,宁波,7000-12000元,71.19,62.35,60.0,100.0,60.0,100.0,85.0,技能命中 2/2（Python、功能测试）；学历满足（要求中专，你本科）；岗位经验要求未能解析（按信息缺失中性处理）。｜提醒：经验是短板（岗位要求未能解析）,,
R201,杜慧,软件测试工程师,南通,2,软件开发+不限语言（全程线上+双休+全额社保）,外企德科数字技术有限公司,苏州,13000-26000元·14薪,68.79,26.54,100.0,100.0,85.0,100.0,85.0,岗位经验不限；南通 → 苏州 约 81km；学历满足（要求本科，你本科）。｜提醒：技能匹配度最低（命中 2/6）,,
R201,杜慧,软件测试工程师,南通,3,游戏测试【2027校招】,4399,厦门,7000-10000元,66.39,62.35,60.0,100.0,30.0,100.0,85.0,技能命中 2/2（Python、功能测试）；学历满足（要求本科，你本科）；岗位经验要求未能解析（按信息缺失中性处理）。｜提醒：跨城（约 878km）,,
R201,杜慧,软件测试工程师,南通,4,测试类电子工程师,江苏星连达精密工业设备有限公司,苏州,6000-12000元,65.24,36.16,60.0,100.0,85.0,100.0,85.0,技能命中 2/4（Python、功能测试）；南通 → 苏州 约 81km；学历满足（要求大专，你本科）。｜提醒：技能匹配度最低（命中 2/4）,,
R201,杜慧,软件测试工程师,南通,5,FPC/PCBA产品治具测试工程师,江苏星连达精密工业设备有限公司,苏州,6000-12000元,64.97,35.44,60.0,100.0,85.0,100.0,85.0,南通 → 苏州 约 81km；技能命中 2/4（Python、功能测试）；学历满足（要求大专，你本科）。｜提醒：技能匹配度最低（命中 2/4）,,
R251,秦思琪,Java开发工程师,泉州,1,后端开发工程师JAVA,泉州市本去电子商务有限公司,泉州,11000-18000元·13薪,74.01,55.28,60.0,100.0,100.0,100.0,70.0,技能命中 5/9（Java、MyBatis、MySQL、RabbitMQ、Redis）；同城（泉州）；学历满足（要求不限，你大专）。｜提醒：技能匹配度最低（命中 5/9）,,
R251,秦思琪,Java开发工程师,泉州,2,java后端工程师,厦门东思信息技术有限公司,厦门,9000-15000元,69.66,45.42,60.0,100.0,85.0,100.0,100.0,技能命中 5/12（Java、MyBatis、MySQL、Redis、SpringBoot）；泉州 → 厦门 约 74km；学历满足（要求不限，你大专）。｜提醒：技能匹配度最低（命中 5/12）,,
R251,秦思琪,Java开发工程师,泉州,3,软件培训工程师,厦门瀚海潮升科技有限公司,厦门,4000-5000元·13薪,68.36,63.4,60.0,60.0,85.0,66.67,100.0,技能命中 2/2（Java、SpringBoot）；泉州 → 厦门 约 74km；岗位经验要求未能解析（按信息缺失中性处理）。｜提醒：经验是短板（岗位要求未能解析）,,
R251,秦思琪,Java开发工程师,泉州,4,嵌入式软件工程师,泉州市朗旭电子科技有限公司,泉州,5000-7000元,67.63,48.15,60.0,60.0,100.0,93.33,100.0,技能命中 5/11（Java、MyBatis、MySQL、RabbitMQ、Redis）；同城（泉州）；岗位经验要求未能解析（按信息缺失中性处理）。｜提醒：技能匹配度最低（命中 5/11）,,
R251,秦思琪,Java开发工程师,泉州,5,系统工程师,宫崎科技(厦门)有限公司,厦门,13000-14000元,66.79,42.61,60.0,100.0,85.0,100.0,70.0,技能命中 2/3（Java、MySQL）；泉州 → 厦门 约 74km；学历满足（要求不限，你大专）。｜提醒：技能匹配度最低（命中 2/3）,,
R301,傅思远,数据分析师,阜阳,1,软件工程师,苏州市东拓新能源有限公司,苏州,8000-15000元,73.35,62.49,100.0,100.0,30.0,100.0,80.0,技能命中 3/3（Python、SQL、数据可视化）；经验满足（要求 3-5 年，你有 3 年）；学历满足（要求本科，你本科）。｜提醒：跨城（约 483km）,,
R301,傅思远,数据分析师,阜阳,2,（LPO）设备工程师,锐捷网络股份有限公司,福州,8000-15000元·14薪,72.61,60.55,100.0,100.0,30.0,100.0,80.0,技能命中 2/2（Hive、SQL）；经验满足（要求 3-5 年，你有 3 年）；学历满足（要求大专，你本科）。｜提醒：跨城（约 830km）,,
R301,傅思远,数据分析师,阜阳,3,电商全渠道平台运营与策划+高提成+社保+工作餐,安徽果不离生物科技有限公司,安庆,5000-6000元,72.2,55.35,100.0,100.0,60.0,85.71,50.0,技能命中 2/2（Excel、SQL）；经验满足（要求 3-5 年，你有 3 年）；学历满足（要求本科，你本科）。｜提醒：专业/证书与岗位方向关联弱,,
R301,傅思远,数据分析师,阜阳,4,制造工程师-S17,友达光电(厦门)有限公司,厦门,7000-12000元·13薪,71.93,58.77,100.0,100.0,30.0,100.0,80.0,技能命中 3/3（Excel、Python、SQL）；经验满足（要求 1-3 年，你有 3 年）；学历满足（要求本科，你本科）。｜提醒：跨城（约 961km）,,
R301,傅思远,数据分析师,阜阳,5,生产制造工程师,友达智慧行动系统(厦门)有限公司,厦门,9000-15000元·13薪,71.93,58.77,100.0,100.0,30.0,100.0,80.0,技能命中 3/3（Excel、Python、SQL）；经验满足（要求 3-5 年，你有 3 年）；学历满足（要求本科，你本科）。｜提醒：跨城（约 961km）,,
R351,石佳怡,后端开发工程师,宁德,1,后端开发工程师（AI 工具方向）,福州斯博联科信息技术有限公司,福州,7000-12000元·13薪,78.09,56.56,100.0,100.0,85.0,100.0,50.0,技能命中 2/2（Java、Python）；经验满足（要求 1-3 年，你有 4 年）；宁德 → 福州 约 71km。｜提醒：专业/证书与岗位方向关联弱,,
