简历ID,简历姓名,期望岗位,期望城市,排名,总分,技能,经验,学历,地域,薪资,专业证书,岗位ID,岗位名称,公司,城市,岗位薪资,经验要求,学历要求,技能标签,技能命中数,岗位技能要求数,余弦分,距离km,推荐理由
R001,傅宇泽,数据分析师,杭州,1,70.55,76.18,60.0,100.0,30.0,80.0,100.0,J3433,数据分析师,莆田市曦盛嘉业科技有限公司,莆田,5000-10000元,产业互联网平台,高中,提成,4,4,59.7,547.7,技能命中 4/4（Excel、Python、SQL、统计学）；学历满足（要求高中，你大专）；岗位经验要求未能解析（按信息缺失中性处理）。｜提醒：跨城（约 548km）
R001,傅宇泽,数据分析师,杭州,2,70.55,76.18,60.0,60.0,60.0,80.0,100.0,J7557,数据采集,苏州沃沃科技服务有限公司,苏州,8000-11000元,SQL,本科,,4,4,59.7,121.4,技能命中 4/4（Excel、Python、SQL、统计学）；岗位经验要求未能解析（按信息缺失中性处理）；杭州 → 苏州 约 121km。｜提醒：经验是短板（岗位要求未能解析）
R001,傅宇泽,数据分析师,杭州,3,66.83,53.77,60.0,100.0,60.0,80.0,100.0,J7194,舟山话数据标注,安徽百得思维信息科技有限公司,舟山,2610-5220元,音频标注,,文本标注|线上培训,3,4,36.4,199.6,技能命中 3/4（Python、SQL、统计学）；学历满足（要求不限，你大专）；岗位经验要求未能解析（按信息缺失中性处理）。｜提醒：技能匹配度最低（命中 3/4）
R001,傅宇泽,数据分析师,杭州,4,66.17,43.88,60.0,100.0,85.0,80.0,85.0,J5172,车间统计员,海宁市艳美家居用品有限公司,嘉兴,4000-6000元,生产统计,大专,仓库统计|车间统计|,3,5,27.4,78.4,技能命中 3/5（Excel、Python、统计学）；杭州 → 嘉兴 约 78km；学历满足（要求大专，你大专）。｜提醒：技能匹配度最低（命中 3/5）
R001,傅宇泽,数据分析师,杭州,5,65.82,40.58,60.0,100.0,85.0,80.0,100.0,J5149,报告专员,立讯智造(浙江)有限公司,嘉兴,8000-16000元,报告专员,,消费电子/智能硬件,2,3,18.6,78.4,技能命中 2/3（Excel、Python）；杭州 → 嘉兴 约 78km；学历满足（要求不限，你大专）。｜提醒：技能匹配度最低（命中 2/3）
R051,谭浩然,算法工程师,马鞍山,1,66.26,50.16,60.0,100.0,60.0,100.0,80.0,J5688,质量经理,嘉兴市安尼拓电气有限公司,嘉兴,20000-30000元·14薪,全面质量管理TQM,,||||,2,3,32.9,237.2,技能命中 2/3（Python、深度学习）；学历满足（要求不限，你大专）；岗位经验要求未能解析（按信息缺失中性处理）。｜提醒：技能匹配度最低（命中 2/3）
R051,谭浩然,算法工程师,马鞍山,2,62.11,39.24,60.0,100.0,60.0,100.0,80.0,J5689,报告专员,立讯智造(浙江)有限公司,嘉兴,8000-16000元,报告专员,,消费电子/智能硬件,2,4,23.1,237.2,技能命中 2/4（Python、深度学习）；学历满足（要求不限，你大专）；岗位经验要求未能解析（按信息缺失中性处理）。｜提醒：技能匹配度最低（命中 2/4）
R051,谭浩然,算法工程师,马鞍山,3,61.57,66.23,0.0,100.0,60.0,100.0,80.0,J5957,直播运营专员,浙江超威动力能源有限公司,湖州,8000-12000元,1-3年,大专,新能源,2,2,38.1,173.4,技能命中 2/2（Python、SQL）；学历满足（要求大专，你大专）；岗位上限 12000 ≥ 期望下限 6500。｜提醒：经验是短板（要求 ≥1 年，你有 0 年）
R051,谭浩然,算法工程师,马鞍山,4,61.46,50.16,60.0,60.0,60.0,100.0,80.0,J5965,雷达算法工程师,浙江兆弟控股有限公司,湖州,35000-60000元,工业自动化/机器人,本科,,2,3,32.9,173.4,技能命中 2/3（Python、深度学习）；岗位经验要求未能解析（按信息缺失中性处理）；岗位上限 60000 ≥ 期望下限 6500。｜提醒：技能匹配度最低（命中 2/3）
R051,谭浩然,算法工程师,马鞍山,5,61.11,30.28,100.0,60.0,60.0,100.0,80.0,J7455,软件开发+不限语言（全程线上+双休+全额社保）,外企德科数字技术有限公司,苏州,13000-26000元·14薪,不限经验,本科,接受考研考公失利|全额社保,2,6,18.2,200.5,岗位经验不限；技能命中 2/6（Python、深度学习）；岗位上限 26000 ≥ 期望下限 6500。｜提醒：技能匹配度最低（命中 2/6）
R101,杜杰,前端开发工程师,金华,1,70.77,63.61,60.0,100.0,60.0,100.0,70.0,J7775,前端开发工程师,觉晓新材料科技(苏州)有限公司,苏州,10000-13000元,HTML5,本科,CSS|JavaScript|Vue|React||||,4,7,63.0,262.5,技能命中 4/7（CSS、HTML、JavaScript、Webpack）；学历满足（要求本科，你本科）；岗位经验要求未能解析（按信息缺失中性处理）。｜提醒：经验是短板（岗位要求未能解析）
R101,杜杰,前端开发工程师,金华,2,67.58,57.58,60.0,100.0,60.0,100.0,55.0,J7774,web前端助理,苏州天孚之星科技有限公司,苏州,13000-14000元,HTML5,大专,CSS|JavaScript|Vue|React|||,3,5,53.9,262.5,技能命中 3/5（CSS、HTML、JavaScript）；学历满足（要求大专，你本科）；岗位经验要求未能解析（按信息缺失中性处理）。｜提醒：专业/证书与岗位方向关联弱
R101,杜杰,前端开发工程师,金华,3,66.8,53.15,60.0,100.0,60.0,100.0,70.0,J4380,java开发工程师（吉利）,天津艾迪智绘网络科技有限公司,宁波,13000-15000元,JavaScript,大专,Spring|MySQL,4,12,61.9,203.8,技能命中 4/12（Axios、CSS、HTML、JavaScript）；学历满足（要求大专，你本科）；岗位经验要求未能解析（按信息缺失中性处理）。｜提醒：技能匹配度最低（命中 4/12）
R101,杜杰,前端开发工程师,金华,4,65.97,63.61,60.0,100.0,30.0,100.0,70.0,J1330,web前端（银行）,软通动力信息技术(集团)股份有限公司,福州,10000-13000元,HTML5,本科,CSS|JavaScript|Vue|React||||,4,7,63.0,336.5,技能命中 4/7（CSS、HTML、JavaScript、Webpack）；学历满足（要求本科，你本科）；岗位经验要求未能解析（按信息缺失中性处理）。｜提醒：跨城（约 336km）
