样本ID,标签,城市匹配度,学历匹配度,经验是否满足,经验差值,经验差值归一化,技能Jaccard,核心技能命中率,技能覆盖度,岗位-经历文本相似度,岗位-求职意向相似度,专业匹配度,证书命中数,简历ID,岗位ID,简历姓名,岗位名称,公司名称,简历居住地,岗位城市,距离(km),简历学历,岗位学历要求,简历工作年限,岗位经验要求,简历技能数,岗位核心技能数,技能命中数,岗位要求证书数,简历证书数,未满足维度数,负样本来源
1,1,1,1,1,2,0.4,0.222222,0.4,0.333333,0.023453,0.028253,1,0,448,1649,黎雨泽,嵌入式开发工程师 (Linux BSP + 业务软件),福建汉特云智能科技有限公司,三明,福州,167.0,本科,本科,5,3-5年,6,5,2,0,1,0,
3,1,1,1,1,1,0.2,0.166667,0.285714,0.285714,0.009783,0.005666,0,0,236,209,罗建,智能终端研发工程师 (MJ000150),厦门睿云联创新科技股份有限公司,宁德,厦门,283.2,本科,本科,1,Python,7,7,2,0,1,0,
8,0,0,0,0,-5,-1.0,0.0,0.0,0.0,0.003282,0.0,0,0,477,2527,莫莉,储能销售经理,福建中集新能源科技有限公司,杭州,漳州,686.7,大专,本科,0,5-10年,4,3,0,0,2,4,随机错位配对
9,0,0,1,0,-2,-0.4,0.0,0.0,0.0,0.012432,0.01265,1,0,167,5512,曾思琪,PQE质量工程师,浙江联超光电有限公司,深圳,嘉兴,1129.3,本科,本科,1,3-5年,9,3,0,0,0,3,随机错位配对
12,0,0,1,0,-2,-0.4,0.0,0.0,0.0,0.020222,0.031813,0,0,198,3726,范峰,cqe客户质量工程师,常熟市兆恒众力精密机械有限公司,莆田,苏州,670.7,本科,本科,3,5-10年,7,2,0,0,1,3,随机错位配对
13,1,1,1,1,0,0.0,0.375,0.6,0.5,0.059163,0.041195,1,0,109,3466,彭霞,中台数据专员,汕头市金帆信息技术有限公司,龙岩,莆田,203.9,大专,大专,0,数据分析,6,5,3,0,0,0,
14,0,1,2,0,-2,-0.4,0.0,0.0,0.0,0.006943,0.112374,0,0,369,8166,韦安然,品质工程师,宜宾纵贯线科技股份有限公司,杭州,苏州,121.7,本科,大专,1,3-5年,9,2,0,0,1,2,维度不满足(≥2项)
17,1,1,1,1,2,0.4,0.125,0.2,0.25,0.027491,0.014658,1,0,184,5985,陶芳,软件测试工程师（培养）,天阳科技,苏州,湖州,65.9,本科,本科,2,功能测试,8,10,2,0,1,0,
19,0,0,1,0,4,0.8,0.0,0.0,0.0,0.005518,0.0,0,0,457,7070,曹浩,财务主管/总账主管,深圳辰达半导体有限公司,龙岩,滁州,812.8,大专,大专,7,3-5年,10,4,0,0,2,3,随机错位配对
21,0,0,1,0,-3,-0.6,0.0,0.0,0.0,0.01563,0.0,0,0,442,2756,姜健,肉鸡笼养场长（政和）(J11697),福建圣农集团,杭州,南平,447.6,大专,大专,0,3-5年,5,3,0,0,2,3,随机错位配对
24,0,0,0,1,1,0.2,0.0,0.0,0.0,0.01609,0.070967,0,0,33,4262,魏倩,AI工程师,宁波容百新能源科技股份有限公司,珠海,宁波,1159.5,本科,硕士,1,机器学习,8,6,0,0,2,3,维度不满足(≥2项)
