姓名,性别,手机号,邮箱,微信号,居住地,求职意向,个人简介,教育经历,工作/实践经历,项目经验,技能特长,自我评价
彭浩然,男,15294714260,penghaoran669@outlook.com,13747315601,宁德,"期望岗位：数据分析师
期望城市：宁德
期望行业：互联网/信息技术/软件服务
期望薪资：面议",5年数据分析师资深经验，精通全链路技术架构，具备团队技术规划与方案设计能力，主导过多个大型项目重构与升级，在高并发/系统稳定性领域有深厚积累，能够带领团队攻克技术难题，驱动业务技术升级。,"福建农林大学 | 数学与应用数学 | 本科
毕业时间：2017年6月
核心课程：计算机网络、数据结构、算法设计与分析、数据库原理","【启明互联网科技有限公司】 数据分析师
2025年1月 - 至今
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 负责公司数据分析师相关业务的开发与维护，参与需求评审
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务

【博思信息技术有限公司】 数据分析师
2024年12月 - 2025年3月
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 负责公司数据分析师相关业务的开发与维护，参与需求评审

【锐捷网络科技有限公司】 数据分析师
2023年6月 - 2024年3月
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 负责公司数据分析师相关业务的开发与维护，参与需求评审","■ 销售数据预测建模
  项目目标：基于历史数据预测销量，指导库存与备货
  个人职责：数据预处理，构建时间序列预测模型，输出月度预测报告
  项目成果：预测准确率达89%，库存周转效率提升25%

■ 用户行为分析看板
  项目目标：构建用户行为数据体系，支撑运营决策
  个人职责：负责数据清洗、指标体系搭建，输出可视化运营报表
  项目成果：输出15+核心运营指标，支撑每月3次运营优化，用户留存率提升8%","专业技能：Tableau、Excel、数据可视化、统计学、Python、Pandas、Hive、MySQL
相关证书：华为HCIA认证、英语六级",拥有5年行业经验，技术视野开阔，具备方案设计与项目把控能力；逻辑清晰，善于定位并解决复杂技术问题；具备良好的团队管理与跨部门沟通能力，能够推动技术优化与业务落地；责任心强，追求技术与业务的平衡发展。
任恒,男,18698360783,renheng45@gmail.com,13912434343,深圳,"期望岗位：运维工程师
期望城市：深圳
期望行业：互联网/信息技术/软件服务
期望薪资：面议",2年运维工程师工作经验，精通Shell、Kubernetes技术栈，参与过完整项目迭代，能够独立完成模块开发与问题排查，注重代码质量与开发效率，具备良好的沟通协作能力。,"佛山科学技术学院 | 物联网工程 | 本科
毕业时间：2020年6月
核心课程：软件工程、算法设计与分析、Java程序设计、数据库原理","【网易（杭州）】 运维工程师
2025年11月 - 至今
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行

【用友网络科技有限公司】 运维工程师
2024年10月 - 2025年1月
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行","■ CI/CD自动化流水线
  项目目标：实现代码自动化构建、测试、部署，提升发布效率
  个人职责：基于Jenkins搭建持续集成流水线，配置Docker容器化部署
  项目成果：发布周期从每周1次提升至每天3次，部署失误率降为0

■ 服务器集群运维优化
  项目目标：提升服务器集群稳定性，降低故障发生率
  个人职责：负责日常巡检、故障排查，优化监控告警规则与分级策略
  项目成果：服务器故障率下降60%，平均故障响应时间缩短至15分钟","专业技能：Zabbix、Jenkins、Ansible、MySQL、Linux、Redis、Kubernetes、Docker
相关证书：阿里云ACP云计算认证",拥有2年实际工作经验，技术功底扎实，熟悉完整开发流程；具备较强的问题解决能力，能够独立排查并解决常见技术问题；工作认真负责，注重团队协作，能够高效推进项目落地；持续学习，保持技术敏感度。
沈茜,女,13233009419,shenxi0465@163.com,15918802447,佛山,"期望岗位：算法工程师
期望城市：佛山
期望行业：互联网/信息技术/软件服务
期望薪资：面议",本科数字媒体技术专业应届毕业生，掌握Python、数据结构基础技能，完成过课程设计与毕业项目，具备基础代码编写能力与问题排查思路，学习能力强，做事认真踏实，期望从事算法工程师相关工作。,"集美大学 | 数字媒体技术 | 本科
毕业时间：2022年6月
核心课程：算法设计与分析、机器学习、数据结构、Java程序设计","【校园实践】
    · 参与学校计算机协会技术部，负责协会网站日常维护
    · 协助老师完成实验室设备管理与系统环境搭建
    · 参与班级课程设计小组，担任后端开发角色","■ 电影推荐系统（毕设）
  项目目标：基于协同过滤实现简单电影推荐
  个人职责：数据处理、模型实现、效果验证
  项目成果：召回准确率达到75%","专业技能：特征工程、NLP、SQL、PyTorch、Python
相关证书：阿里云ACP云计算认证",应届毕业，具备扎实的专业基础知识与学习能力，能够快速掌握新技术；工作态度认真负责，有耐心，注重细节；具备良好的团队意识与沟通能力，能够积极配合团队完成任务；期望在工作中积累经验，快速成长。
许洋,男,18330292070,xuyang902@163.com,15914689074,南平,"期望岗位：数据分析师
期望城市：南平
期望行业：互联网/信息技术/软件服务
期望薪资：面议",3年数据分析师工作经验，精通统计学、Hive技术栈，参与过完整项目迭代，能够独立完成模块开发与问题排查，注重代码质量与开发效率，具备良好的沟通协作能力。,"福州大学 | 数学与应用数学 | 本科
毕业时间：2019年6月
核心课程：数据结构、机器学习、操作系统、Python编程","【信雅科技有限公司】 数据分析师
2025年3月 - 至今
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 对接产品、测试团队，跟进需求落地与缺陷修复

【信雅网络科技有限公司】 数据分析师
2024年4月 - 2025年1月
    · 负责公司数据分析师相关业务的开发与维护，参与需求评审
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 对接产品、测试团队，跟进需求落地与缺陷修复","■ 用户行为分析看板
  项目目标：构建用户行为数据体系，支撑运营决策
  个人职责：负责数据清洗、指标体系搭建，输出可视化运营报表
  项目成果：输出15+核心运营指标，支撑每月3次运营优化，用户留存率提升8%

■ 销售数据预测建模
  项目目标：基于历史数据预测销量，指导库存与备货
  个人职责：数据预处理，构建时间序列预测模型，输出月度预测报告
  项目成果：预测准确率达89%，库存周转效率提升25%","专业技能：Tableau、MySQL、数据可视化、NumPy、Pandas、Excel
相关证书：红帽RHCE认证",拥有3年实际工作经验，技术功底扎实，熟悉完整开发流程；具备较强的问题解决能力，能够独立排查并解决常见技术问题；工作认真负责，注重团队协作，能够高效推进项目落地；持续学习，保持技术敏感度。
夏玲,女,18849878200,xialing860@163.com,15970851625,三明,"期望岗位：软件测试工程师
期望城市：三明
期望行业：互联网/信息技术/软件服务
期望薪资：面议",1年软件测试工程师工作经验，精通接口测试、接口测试技术栈，参与过完整项目迭代，能够独立完成模块开发与问题排查，注重代码质量与开发效率，具备良好的沟通协作能力。,"厦门大学 | 计算机科学与技术 | 本科
毕业时间：2021年6月
核心课程：操作系统、计算机网络、算法设计与分析、数据结构","【华为（东莞研究所）】 软件测试工程师
2025年5月 - 至今
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 负责公司软件测试工程师相关业务的开发与维护，参与需求评审","■ 自动化测试框架搭建
  项目目标：提升回归测试效率，减少人工重复劳动
  个人职责：基于Selenium搭建UI自动化框架，编写核心模块测试脚本
  项目成果：回归测试周期从7天缩短至2天，覆盖率达85%

■ 电商平台功能测试
  项目目标：保障电商系统上线质量，覆盖全业务流程
  个人职责：设计测试用例，执行功能、回归测试，提交缺陷报告
  项目成果：发现并修复120+缺陷，上线后线上缺陷率低于0.5%","专业技能：MySQL、Postman、测试用例设计、JMeter、Python、Selenium
相关证书：红帽RHCE认证、阿里云ACP云计算认证",拥有1年实际工作经验，技术功底扎实，熟悉完整开发流程；具备较强的问题解决能力，能够独立排查并解决常见技术问题；工作认真负责，注重团队协作，能够高效推进项目落地；持续学习，保持技术敏感度。
黄鹏,男,15268789029,huangpeng63@outlook.com,13755550796,厦门,"期望岗位：Java开发工程师
期望城市：厦门
期望行业：互联网/信息技术/软件服务
期望薪资：面议",3年Java开发工程师工作经验，精通Redis、微服务技术栈，参与过完整项目迭代，能够独立完成模块开发与问题排查，注重代码质量与开发效率，具备良好的沟通协作能力。,"苏州职业大学 | 数字媒体技术 | 专科
毕业时间：2019年6月
核心课程：算法设计与分析、机器学习、操作系统、数据结构","【新科互联网科技有限公司】 Java开发工程师
2025年2月 - 至今
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行

【智联数据技术有限公司】 Java开发工程师
2024年5月 - 2025年3月
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 负责公司Java开发工程师相关业务的开发与维护，参与需求评审
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行","■ 微服务用户中心重构
  项目目标：将单体用户系统拆分为微服务架构，提升并发承载能力
  个人职责：负责登录、注册、权限模块开发，优化数据库查询与缓存策略
  项目成果：支持并发量从500提升至5000，接口响应耗时减少60%

■ 电商订单交易系统
  项目目标：搭建高可用电商订单系统，支撑大促流量峰值
  个人职责：负责订单创建、支付回调、库存扣减核心逻辑开发
  项目成果：支撑日均订单量10万+，系统可用性达99.95%","专业技能：微服务、Docker、SpringCloud、Java、SpringBoot、RabbitMQ、MyBatis、Redis、JVM调优、Git
相关证书：软考中级",拥有3年实际工作经验，技术功底扎实，熟悉完整开发流程；具备较强的问题解决能力，能够独立排查并解决常见技术问题；工作认真负责，注重团队协作，能够高效推进项目落地；持续学习，保持技术敏感度。
吕颖,女,18499661881,lvying21@126.com,18533285026,佛山,"期望岗位：运维工程师
期望城市：佛山
期望行业：互联网/信息技术/软件服务
期望薪资：面议",专科信息管理与信息系统专业应届毕业生，掌握Jenkins、Redis基础技能，完成过课程设计与毕业项目，具备基础代码编写能力与问题排查思路，学习能力强，做事认真踏实，期望从事运维工程师相关工作。,"泉州经贸职业技术学院 | 信息管理与信息系统 | 专科
毕业时间：2022年6月
核心课程：数据库原理、操作系统、计算机网络、数字信号处理","【校园实践】
    · 参与学校计算机协会技术部，负责协会网站日常维护
    · 协助老师完成实验室设备管理与系统环境搭建
    · 参与班级课程设计小组，担任后端开发角色","■ 实验室服务器搭建实训
  项目目标：搭建实验室Linux服务器环境
  个人职责：负责系统安装、网络配置、基础服务部署
  项目成果：完成3台服务器环境搭建","专业技能：Shell、Docker、MySQL、网络运维、Prometheus
相关证书：无",应届毕业，具备扎实的专业基础知识与学习能力，能够快速掌握新技术；工作态度认真负责，有耐心，注重细节；具备良好的团队意识与沟通能力，能够积极配合团队完成任务；期望在工作中积累经验，快速成长。
苏飞,男,13413889430,sufei4411@126.com,18990241500,龙岩,"期望岗位：数据分析师
期望城市：龙岩
期望行业：互联网/信息技术/软件服务
期望薪资：面议",3年数据分析师工作经验，精通SQL、用户分析技术栈，参与过完整项目迭代，能够独立完成模块开发与问题排查，注重代码质量与开发效率，具备良好的沟通协作能力。,"暨南大学 | 计算机应用技术 | 本科
毕业时间：2019年6月
核心课程：数据库原理、数字信号处理、机器学习、数据结构","【OPPO（东莞）】 数据分析师
2025年8月 - 至今
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 负责公司数据分析师相关业务的开发与维护，参与需求评审

【用友科技有限公司】 数据分析师
2024年3月 - 2025年5月
    · 负责公司数据分析师相关业务的开发与维护，参与需求评审
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务","■ 用户行为分析看板
  项目目标：构建用户行为数据体系，支撑运营决策
  个人职责：负责数据清洗、指标体系搭建，输出可视化运营报表
  项目成果：输出15+核心运营指标，支撑每月3次运营优化，用户留存率提升8%

■ 销售数据预测建模
  项目目标：基于历史数据预测销量，指导库存与备货
  个人职责：数据预处理，构建时间序列预测模型，输出月度预测报告
  项目成果：预测准确率达89%，库存周转效率提升25%","专业技能：MySQL、数据可视化、Pandas、统计学、用户分析、Hive
相关证书：英语六级",拥有3年实际工作经验，技术功底扎实，熟悉完整开发流程；具备较强的问题解决能力，能够独立排查并解决常见技术问题；工作认真负责，注重团队协作，能够高效推进项目落地；持续学习，保持技术敏感度。
向雪,女,13093997252,xiangxue18@126.com,13757160824,泉州,"期望岗位：Python开发工程师
期望城市：泉州
期望行业：互联网/信息技术/软件服务
期望薪资：面议",2年Python开发工程师工作经验，精通Python、Django技术栈，参与过完整项目迭代，能够独立完成模块开发与问题排查，注重代码质量与开发效率，具备良好的沟通协作能力。,"深圳职业技术学院 | 信息管理与信息系统 | 专科
毕业时间：2020年6月
核心课程：Java程序设计、操作系统、机器学习、计算机网络","【OPPO（东莞）】 Python开发工程师
2025年12月 - 至今
    · 负责公司Python开发工程师相关业务的开发与维护，参与需求评审
    · 对接产品、测试团队，跟进需求落地与缺陷修复

【微远数据技术有限公司】 Python开发工程师
2024年1月 - 2025年7月
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 负责公司Python开发工程师相关业务的开发与维护，参与需求评审
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务","■ 自动化运维平台
  项目目标：开发运维管理平台，实现服务器批量管理
  个人职责：负责监控、告警、任务调度模块后端开发
  项目成果：管理服务器200+，运维人力成本降低50%

■ 数据采集爬虫系统
  项目目标：搭建分布式爬虫平台，采集多渠道公开数据
  个人职责：负责反爬策略破解、数据清洗、入库逻辑开发
  项目成果：日均采集数据50万条，数据准确率98%以上","专业技能：Git、MySQL、FastAPI、Linux、Django、Python、MongoDB、Docker、Flask、爬虫
相关证书：PMP项目管理专业人士、计算机二级",拥有2年实际工作经验，技术功底扎实，熟悉完整开发流程；具备较强的问题解决能力，能够独立排查并解决常见技术问题；工作认真负责，注重团队协作，能够高效推进项目落地；持续学习，保持技术敏感度。
郑健,男,17774424612,zhengjian41@outlook.com,wx_zhengjian_948,南京,"期望岗位：运维工程师
期望城市：南京
期望行业：互联网/信息技术/软件服务
期望薪资：面议",4年运维工程师从业经验，精通网络运维技术架构，主导过中型项目从0到1落地，擅长技术方案设计与性能优化，曾推动核心模块技术重构，带来显著效率提升，具备跨部门协作与项目推进能力。,"南京工业职业技术大学 | 数学与应用数学 | 专科
毕业时间：2018年6月
核心课程：算法设计与分析、机器学习、数据库原理、软件工程","【汇智互联网科技有限公司】 运维工程师
2024年10月 - 至今
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 对接产品、测试团队，跟进需求落地与缺陷修复

【未来网络科技有限公司】 运维工程师
2022年7月 - 2024年4月
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 负责公司运维工程师相关业务的开发与维护，参与需求评审","■ 服务器集群运维优化
  项目目标：提升服务器集群稳定性，降低故障发生率
  个人职责：负责日常巡检、故障排查，优化监控告警规则与分级策略
  项目成果：服务器故障率下降60%，平均故障响应时间缩短至15分钟

■ CI/CD自动化流水线
  项目目标：实现代码自动化构建、测试、部署，提升发布效率
  个人职责：基于Jenkins搭建持续集成流水线，配置Docker容器化部署
  项目成果：发布周期从每周1次提升至每天3次，部署失误率降为0","专业技能：Redis、Kubernetes、Shell、MySQL、网络运维、Nginx、Docker、Ansible
相关证书：华为HCIA认证、软件设计师（中级）、红帽RHCE认证",拥有4年行业经验，技术视野开阔，具备方案设计与项目把控能力；逻辑清晰，善于定位并解决复杂技术问题；具备良好的团队管理与跨部门沟通能力，能够推动技术优化与业务落地；责任心强，追求技术与业务的平衡发展。
